date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:36:19	146076/146076	---M--	200	added ('OK')	image/jpeg	etag:%22febc849e558506e93d3b940ee26b51e7%22	https://cdn.goturkiye.com/goturkiye/shutterstock1218934390.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock1218934390.jpg	(from https://goturkiye.com/keep-abreast-of-the-frozen-winter-lake-cildir)
02:36:20	102876/102876	---M--	200	added ('OK')	image/jpeg	etag:%226ae2fa1bca6a190df708c861e92dcb2a%22	https://cdn.goturkiye.com/goturkiye/shutterstock1730950015.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock1730950015.jpg	(from https://goturkiye.com/keep-abreast-of-the-frozen-winter-lake-cildir)
02:36:21	141609/141609	---M--	200	added ('OK')	image/jpeg	etag:%22832d6f618f765913cf2811d2b7105e35%22	https://cdn.goturkiye.com/goturkiye/shutterstock2137548325-kapak.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock2137548325-kapak.jpg	(from https://goturkiye.com/open-air-museums-of-turkiye)
02:36:22	147586/147586	---M--	200	added ('OK')	image/jpeg	etag:%221c61a7c606112d1cd3bbacd374f4c179%22	https://cdn.goturkiye.com/goturkiye/shutterstock2180467501.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock2180467501.jpg	(from https://goturkiye.com/open-air-museums-of-turkiye)
02:36:23	166472/166472	---M--	200	added ('OK')	image/jpeg	etag:%225ae41bd5c0cf5374f1acc07d3d3126d0%22	https://cdn.goturkiye.com/goturkiye/shutterstock1774389179.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock1774389179.jpg	(from https://goturkiye.com/open-air-museums-of-turkiye)
02:36:25	156584/156584	---M--	200	added ('OK')	image/jpeg	etag:%222cdda693fcade4eb167b9ba217787422%22	https://cdn.goturkiye.com/goturkiye/shutterstock2194318247.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock2194318247.jpg	(from https://goturkiye.com/open-air-museums-of-turkiye)
02:36:26	237491/237491	---M--	200	added ('OK')	image/jpeg	etag:%225b9ec6e7245cc3a477f3a71a725afde6%22	https://cdn.goturkiye.com/goturkiye/shutterstock633020207.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock633020207.jpg	(from https://goturkiye.com/open-air-museums-of-turkiye)
02:36:27	211362/211362	---M--	200	added ('OK')	image/jpeg	etag:%22d5c6355b439949f659fc45d4c5510cfe%22	https://cdn.goturkiye.com/goturkiye/shutterstock2173036417.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock2173036417.jpg	(from https://goturkiye.com/open-air-museums-of-turkiye)
02:36:28	160403/160403	---M--	200	added ('OK')	image/jpeg	etag:%22d1908f5b2ceea2e0d3526f0289b2ec57%22	https://cdn.goturkiye.com/goturkiye/shutterstock1942646071.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock1942646071.jpg	(from https://goturkiye.com/open-air-museums-of-turkiye)
02:36:30	213486/213486	---M--	200	added ('OK')	image/jpeg	etag:%22103e9adff29dc6ead0448ddfc0ae715a%22	https://cdn.goturkiye.com/goturkiye/shutterstock1863878614.jpg	/Users/huayuangroup/websites/Goturkeye/cdn.goturkiye.com/goturkiye/shutterstock1863878614.jpg	(from https://goturkiye.com/open-air-museums-of-turkiye)
